combination,ml type,loss rate,f1 score,support
B,AB,0.0,0.7306393807867481,194
C,LR,0.0,0.7396510150451933,194
I,AB,0.0,0.6569300775021905,194
B + C,AB,0.0,0.7869082028421793,194
B + I,AB,0.0,0.834538457883985,194
C + I,AB,0.0,0.7595426552601067,194
B + C + I,AB,0.0,0.8376195187787541,194
T,GB,1.0983379288936526,0.7535937746464062,133
T + B,DT,1.3176658868584354,0.8269307705225746,133
T + C,AB,1.3176658868584354,0.8258220581465668,133
T + I,AB,1.3176658868584354,0.8647075834382336,133
T + B + C,DT,1.449262661637305,0.8045112781954887,133
T + B + I,AB,1.449262661637305,0.8421410000982766,133
T + C + I,GB,1.449262661637305,0.8487314175850585,133
T + B + C + I,RF,1.5369938448232183,0.8495047141663682,133
